station_id,name,short_name,latitude,longitude,capacity
0f9423bd-98dd-4919-b6e3-28880ff7ecca,Woodside Ave & 69 St,6183.03,40.7428,-73.89584,19
1848241332086049696,Case St & 94 St,6273.03,40.74619,-73.87193,21
2108372562172578194,Arlington Ave & Bramhall Ave,JC120,40.713225,-74.070645,18
2116635993049651742,Ferris Triangle Park,JC137,40.69877,-74.09216,12
a59f4f11-5d52-43a2-8a32-ae71137a6af8,Grand St,JC102,40.715177677320291,-74.037683308124542,18
66dddae7-0aca-11e7-82f6-3863bb44ef7c,Manila & 1st,JC082,40.721650724879993,-74.042884111404419,18
581211b2-4e42-48f2-8a8f-5f968cb1c5df,Bergen Ave & Sip Ave,JC109,40.73100888698729,-74.064437001943588,33
66dcbac5-0aca-11e7-82f6-3863bb44ef7c,Lewis Ave & Decatur St,4237.01,40.6814598,-73.934903,19
1835246937517543544,24 Ave & 92 St,6913.03,40.76589,-73.87789,20
2218677133489064082,E 70 St & Madison Ave,7036.07,40.77059,-73.96655,44
d52d4171-fd60-4a28-b7e2-89f3693e0591,53 St & Flushing Ave,5257.01,40.71435,-73.91405,19
1318e05a-2506-43c6-b49d-4c1f7f69a267,Hancock St & Wyckoff Ave,4735.16,40.6972,-73.90674,19
e1886e7a-62b1-4359-9835-8ab5a16371ae,Grand Concourse & E 175 St,8303.06,40.846275929219537,-73.909312784671783,24
66dd039b-0aca-11e7-82f6-3863bb44ef7c,N 6 St & Bedford Ave,5379.10,40.71745169,-73.95850939,28
1841240663447542046,72 St & Broadway,6258.02,40.74751,-73.89372,20
122111c9-9a61-4372-a756-fb2495611cb6,7 Ave & 17 St,3660.07,40.660937794931677,-73.986804485321045,21
2177017052188360762,Fieldston Rd & Mosholu Ave,9068.04,40.90524,-73.90054,13
74e104fb-1ddc-4f3e-a60b-220b6c4f300b,Madison St & Cypress Ave,4807.02,40.70068,-73.90742,17
1828968611856235508,31 Ave & 86 St,6709.05,40.75958,-73.88219,19
676b7b4d-b1c0-4c97-8ac3-5fe665e51108,Harlem River Dr & W 155 St,8085.13,40.830476,-73.939929,24
66dd7cab-0aca-11e7-82f6-3863bb44ef7c,Hilltop,JC019,40.7311689,-74.0575736,26
66ddd93e-0aca-11e7-82f6-3863bb44ef7c,Jersey & 6th St,JC027,40.725289107811321,-74.045571684837341,14
1862002854876824190,Elmhurst Ave & Forley St,6240.05,40.74615,-73.87763,21
7f4753d7-8d58-48bd-a881-de5bff08b27d,72 St & 41 Ave,6258.03,40.7448,-73.89377,26
2124425670552673214,4 Ave & 72 St,2660.09,40.63283,-74.02439,14
66db79a3-0aca-11e7-82f6-3863bb44ef7c,Fulton St & Broadway,5175.08,40.711066,-74.009447,49
b9d3134b-697f-4a0f-b90f-d95f6c69ffda,Decatur St & Saratoga Ave,4366.10,40.68332,-73.91711,21
61647ec6-dfd6-4d1c-8800-d488d390c627,King St & Varick St,5687.11,40.727897014090232,-74.005362689495072,36
9092515e-eef6-478f-910f-1cd19d06bebb,Broadway & Hancock St,4441.06,40.686610649508367,-73.916832189648886,35
a0eec052-257a-4c79-8171-6e2ad9864ad0,Ave D & E 10 St,5575.13,40.725065510154749,-73.975158333778381,30
1057229c-f8f8-4014-80cd-f40421c61cf0,Onderdonk Ave & Gates Ave,4994.10,40.70413,-73.90737,19
1835247352748090208,Jackson Mill Rd & 24 Ave,6877.05,40.76619,-73.87561,24
facb0195-8daa-46e3-95e1-6f22fb678e8a,Prospect Ave & Jennings St,8099.04,40.831762,-73.896853,20
c0b541ae-9e66-4739-babb-483180747dc2,48 Ave & 37 St,6067.01,40.740346680871852,-73.928860723972321,19
3134bce7-0bb9-4a45-9c87-60a8cb681d72,Central Ave & Woodbine St,4632.10,40.69296,-73.91605,18
034f7f3d-e632-475a-aa01-894480d153df,Skillman Ave & Honeywell St,6334.03,40.7471482490328,-73.929024338722229,19
82b97827-1801-4b7b-b3de-16447a8dd025,Jefferson Ave & Patchen Ave,4375.02,40.68609,-73.92628,19
1934749166596673908,Washington Pl & Greene St,5755.15,40.729806191804961,-73.995463809154614,46
1838070843306263244,112 St & Northern Blvd,6683.01,40.75788,-73.85763,20
1862008939006380034,E 189 St & Bathgate Ave,8505.08,40.85859,-73.88821,21
66dd23a9-0aca-11e7-82f6-3863bb44ef7c,Jackson Ave & 46 Rd,6203.02,40.74524768,-73.94733276,27
7a8b474b-7577-4316-a192-d57576d194a3,Woodside Ave & 60 St,6234.04,40.74521,-73.90462,21
a3e2b360-f050-48ea-b8c8-57d897b8f7fc,Harman St & Seneca Ave,5002.09,40.70577,-73.91292,19
1828969417249358046,100 St & Northern Blvd,6618.02,40.75748,-73.86843,22
84b30f68-5404-453a-ae86-a2baff03a2c9,Bainbridge Ave & Bedford Park Blvd,8682.06,40.87002,-73.88565,19
1885440410432338078,E 182 St & Grand Concourse,8494.07,40.85591,-73.90051,26
1869754143518014264,78 St & Northern Blvd,6603.07,40.75499,-73.88905,40
4cfd4097-0aee-4f11-9aea-55f99397bf33,Irving Ave & Halsey St,4695.04,40.69467,-73.90663,19
